verbal_label	study_subgroup	n_subjects	percentage
few	borges_sawyers1974_exp1	26	11
some	borges_sawyers1974_exp1	26	26
many	borges_sawyers1974_exp1	26	57
most	borges_sawyers1974_exp1	26	81
few	borges_sawyers1974_exp2	30	12
some	borges_sawyers1974_exp2	30	32
many	borges_sawyers1974_exp2	30	77
most	borges_sawyers1974_exp2	30	94
few	newsted_etal1987_exp1	234	11
some	newsted_etal1987_exp1	234	30
many	newsted_etal1987_exp1	234	70
most	newsted_etal1987_exp1	234	87
few	newsted_etal1987_exp2	18	16
some	newsted_etal1987_exp2	18	32
many	newsted_etal1987_exp2	18	74
most	newsted_etal1987_exp2	18	85
few	newsted_etal1987_exp2_10000	20	9
some	newsted_etal1987_exp2_10000	20	27
many	newsted_etal1987_exp2_10000	20	70
most	newsted_etal1987_exp2_10000	20	84
few	vantiel_etal2021	253	10
some	vantiel_etal2021	335	25
many	vantiel_etal2021	165	62
most	vantiel_etal2021	489	80
few	soenning2024	20	11
some	soenning2024	20	27
many	soenning2024	20	64
most	soenning2024	20	84
